manufacturer,model,submodel,year,hand,mileage,engine_liters,horsepower,fuel,transmission,drive_type,body_color,price
Mazda,323,,2004,2,170000,1.6,105,Gasoline,Automatic,FWD,Beige,6000
Mazda,3,Spirit,2022,1,30000,2.0,165,Gasoline,Automatic,FWD,White,134000
Mazda,3,Comfort,2004,4,201000,1.6,105,Gasoline,Automatic,FWD,Blue,8000
Mazda,3,Comfort,2007,1,260000,1.6,105,Gasoline,Automatic,FWD,Grey,6000
Mazda,5,Executive,2010,3,325000,2.0,145,Gasoline,Automatic,FWD,Ruby,8000
Mazda,3,Active,2010,4,250000,1.6,105,Gasoline,Automatic,FWD,Light Grey,13500
Mazda,6,,2019,2,125000,2.5,195,Gasoline,Automatic,FWD,Red,82000
Mazda,3,Sport,2017,4,230000,2.0,165,Gasoline,Automatic,FWD,Black,65000
Mazda,Cx 5,Luxury,2013,2,280000,2.0,155,Gasoline,Automatic,FWD,White,44000
Mazda,5,Executive,2009,3,380000,2.0,145,Gasoline,Automatic,FWD,White,8000
Mazda,Cx 5,,2022,1,47300,2.5,194,Gasoline,Automatic,FWD,White,155000
Mazda,5,S,2007,4,278000,2.0,145,Gasoline,Automatic,FWD,Blue,14000
Mazda,5,S,2008,3,184000,2.0,145,Gasoline,Automatic,FWD,Silver,18000
Mazda,Cx 5,,2013,2,284000,2.0,155,Gasoline,Automatic,FWD,Black,50000
Mazda,3,Active,2006,3,229000,1.6,105,Gasoline,Automatic,FWD,Silver,7500
Mazda,Cx 5,,2014,3,140000,2.0,165,Gasoline,Automatic,FWD,White,58000
Mazda,3,,2008,2,203000,1.6,105,Gasoline,Automatic,FWD,Grey,11000
Mazda,3,Comfort,2008,2,150000,1.6,105,Gasoline,Automatic,FWD,White,14000
Mazda,323,,2003,3,220000,1.6,105,Gasoline,Automatic,FWD,White,4900
Mazda,5,S,2008,3,270000,2.0,145,Gasoline,Automatic,FWD,White,15900
Mazda,3,Sport,2019,2,99000,2.0,165,Gasoline,Automatic,FWD,White,60000
Mazda,6,Executive,2010,4,213000,2.0,155,Gasoline,Automatic,FWD,Black,18000
